comment_id,用戶名稱,留言內容,留言時間
1,Xiaoyang Hong,"如果你在第二波名單被抓後
自己主動投案，那我一定會欣賞你！
現在就這樣了～
5週",讚
2,Elsa Chen,"修楷杰
7週",讚
3,Chia Hung Chang,"在哪？
9週",讚
4,Claire Ong,在新加坡的渣打银行也有类似的活动。夕阳跑步,11週
5,Claire Ong,Tefal 的产品好用我给两个赞,11週
6,婕吕瑀,,3天
7,公平 正義 發明者 集團 Fair Justice Inventor Group,""" 聯合 國 "" 政府 -- "" United Nations "" Gov
https://x.com/UN/status/1841123718212284495
為什麼 -- Why -- "" 公平 正義 發明者 軍隊 "" -- "" Fairness Justice Inventor Army "" -- 管理 地球 ? -- Manage Earth ? 4 我們 將要 "" 移民 "" 4 We Will "" Migrate "" -- "" 聯合國 "" 政府 -- "" United Nations "" Gov -- 已經 "" 通過 "" -- Already "" Pass "" 因為 Because 1 罪犯們 1 Criminals "" 威脅 讓 地球 爆炸 "" "" Threat Let Earth Explode "" - 威脅 "" 燒 "" 領導人們 每一天 - Threat "" Burn "" Leaders Every Day
5 "" 公平 正義 發明者 軍隊 "" 5 "" Fairness Justice Inventor Army "" 1 ) 外太空 太陽系 發明者 1 ) Outer Space Sun System Inventor
20251027 - 04
https://x.com/a222061340/status/1982638535221117066
20251026 - 01
https://x.com/a222061340/status/1982701327504535657
20251012 - 01 解決 "" 經濟 "" 問題 Solved "" Economic "" Problem https://x.com/a222061340/status/1977897603603083625
"" 電 費 能 非常 便宜 "" -- "" Eectric Fee Can Very Cheap ""
3 解決 "" 能源 缺乏 "" 問題
3 Solved "" Energy Lack "" Problem
5 "" 解決 ” 水 缺乏 “ 問題 ""
5 "" Solved "" Water Lack "" Problem ""
” 植物油- 蔬菜油 大豆油 “ 等等 可取代 “ 石油 ”
"" Plent Oil - Vegetable Oil Soybean Oil "" And So On Can Replace "" Ｏil ""
無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAthena)
No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAthena)
發明 部分 可 使用 "" -- Invent Part Can Use "" - "" 因為 等待 移民 "" -- "" Because Wait Migrant "" -- "" 請 要求 政府 幫助 公民們 "" -- "" Please Ask Gov Help Citizens ""
20250329 - 02 - 001 電費 不 需要 付 國家 Electric Not Need Pay Nation 美國 中國 日本 南韓 北韓 USA China Japan South Korea North Korea 加拿大 西班牙 Canada Spain 及 更 多 And More Many
20251026 - 02
https://x.com/a222061340/status/1982981943114510772
20250616 - 08
https://x.com/a222061340/status/1934722659495064027
-- "" 可以 證明 "" -- "" Can Prove ""
-- "" 可以 幫忙 "" -- "" Can Help ""
NASA@NASA
https://x.com/NASA/status/1929641148747821563
已经 移民
Already Migrate
-- "" 聯合 國 "" 政府
-- "" United Nations "" Gov
AI 电脑 电 数位相机 水 发明者们 联合国 领导人们 及 新 基因 食物 AI Computer Electric Digital Camera Water Inventors and UN Leaders New DNA Food
https://x.com/UN/status/1977585334973010120
https://x.com/UN/status/1966925344859893984
https://x.com/UN/status/1967287984434065779
https://x.com/UN/status/1841123718212284495
美國 白宮 US The White House
https://x.com/WhiteHouse/status/1897105943630061752
https://x.com/WhiteHouse/status/1881396731486867964
總統 國王 川普 (0000,6 ) 6 (人類)
President King Trump (0000,6) 6 (Human)
https://x.com/POTUS/status/1881408246067744887
https://x.com/realDonaldTrump/status/1888725523393904876
中國 總統 國王 习近平 (0000,6) 6 (人類) China President King Xi Jinping (0000,6) 6 (Human)
https://x.com/MFA_China/status/1981549852174799039 https://x.com/ChinesePresXi/status/1678831096954503168
中國 俄国
China Russia
總統 國王 普丁 (0000,6) 6 (人類)
President King Putin (0000,6) 6 (Human)
https://x.com/MID_RF/status/1981312141949878725
24) 密碼Password 9000 2025 開会記錄 調查 列表 Meeting Record Investigate List 樣本 Sample https://docs.google.com/spreadsheets/d/1R5AbPViJiDnJF3OqB47bKo5DzTRQsUo4n5rM4ONA9so/edit?gid=0#gid=0
24）密碼Password 9000
=
無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAthena)
No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAthena) -- 贏 -- Win --
-- "" 公平 正義 發明者 軍隊 "" --
-- "" Fairness Justice Inventor Army "" --
-- "" 管理 開始 "" --
-- "" Manage Begin "" --
https://x.com/a222061340
徐紫涵 （Hsu Tzu Han MollyAthena）
https://facebook.com/HsuMollyAthena/
-- "" 公平 正義 徐紫涵孟玲6 (徐紫涵6) “ 主義 "" "" --
-- "" Fairness Justice Xú zǐ hán Mèng líng 6 (Xú(Hsu Tzu Han) zǐ hán6) "" Ism "" "" --
https://facebook.com/groups/fairnessjusticexuhsuzihanmenglingism
移民 Migrant
https://facebook.com/groups/fairnessjusticeinventorgroupmigrant
罪犯 新聞 - Criminals News
https://facebook.com/groups/fairnessjusticeinventorgroupcriminalsnews/
20250315 - 04 動物 及 植物 靈 全部 可以 申請 存活 Animal and Plant Spirit All Can Apply Survive
20250427 - 01 - 001 人類 身體 細胞 Human Body Cell 每一人 超過一 兆個 Everyone More Than One Trillion 全部 可 成為 人類 All Can Become Human",3週
8,公平 正義 發明者 集團 Fair Justice Inventor Group,""" 聯合 國 "" 政府 -- "" United Nations "" Gov
https://x.com/UN/status/1841123718212284495
為什麼 -- Why -- "" 公平 正義 發明者 軍隊 "" -- "" Fairness Justice Inventor Army "" -- 管理 地球 ? -- Manage Earth ? 4 我們 將要 "" 移民 "" 4 We Will "" Migrate "" -- "" 聯合國 "" 政府 -- "" United Nations "" Gov -- 已經 "" 通過 "" -- Already "" Pass "" 因為 Because 1 罪犯們 1 Criminals "" 威脅 讓 地球 爆炸 "" "" Threat Let Earth Explode "" - 威脅 "" 燒 "" 領導人們 每一天 - Threat "" Burn "" Leaders Every Day
5 "" 公平 正義 發明者 軍隊 "" 5 "" Fairness Justice Inventor Army "" 1 ) 外太空 太陽系 發明者 1 ) Outer Space Sun System Inventor
20251027 - 04
https://x.com/a222061340/status/1982638535221117066
20251026 - 01
https://x.com/a222061340/status/1982701327504535657
20251012 - 01 解決 "" 經濟 "" 問題 Solved "" Economic "" Problem https://x.com/a222061340/status/1977897603603083625
"" 電 費 能 非常 便宜 "" -- "" Eectric Fee Can Very Cheap ""
3 解決 "" 能源 缺乏 "" 問題
3 Solved "" Energy Lack "" Problem
5 "" 解決 ” 水 缺乏 “ 問題 ""
5 "" Solved "" Water Lack "" Problem ""
” 植物油- 蔬菜油 大豆油 “ 等等 可取代 “ 石油 ”
"" Plent Oil - Vegetable Oil Soybean Oil "" And So On Can Replace "" Ｏil ""
無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAthena)
No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAthena)
發明 部分 可 使用 "" -- Invent Part Can Use "" - "" 因為 等待 移民 "" -- "" Because Wait Migrant "" -- "" 請 要求 政府 幫助 公民們 "" -- "" Please Ask Gov Help Citizens ""
20250329 - 02 - 001 電費 不 需要 付 國家 Electric Not Need Pay Nation 美國 中國 日本 南韓 北韓 USA China Japan South Korea North Korea 加拿大 西班牙 Canada Spain 及 更 多 And More Many
20251026 - 02
https://x.com/a222061340/status/1982981943114510772
20250616 - 08
https://x.com/a222061340/status/1934722659495064027
-- "" 可以 證明 "" -- "" Can Prove ""
-- "" 可以 幫忙 "" -- "" Can Help ""
NASA@NASA
https://x.com/NASA/status/1929641148747821563
已经 移民
Already Migrate
-- "" 聯合 國 "" 政府
-- "" United Nations "" Gov
AI 电脑 电 数位相机 水 发明者们 联合国 领导人们 及 新 基因 食物 AI Computer Electric Digital Camera Water Inventors and UN Leaders New DNA Food
https://x.com/UN/status/1977585334973010120
https://x.com/UN/status/1966925344859893984
https://x.com/UN/status/1967287984434065779
https://x.com/UN/status/1841123718212284495
美國 白宮 US The White House
https://x.com/WhiteHouse/status/1897105943630061752
https://x.com/WhiteHouse/status/1881396731486867964
總統 國王 川普 (0000,6 ) 6 (人類)
President King Trump (0000,6) 6 (Human)
https://x.com/POTUS/status/1881408246067744887
https://x.com/realDonaldTrump/status/1888725523393904876
中國 總統 國王 习近平 (0000,6) 6 (人類) China President King Xi Jinping (0000,6) 6 (Human)
https://x.com/MFA_China/status/1981549852174799039 https://x.com/ChinesePresXi/status/1678831096954503168
中國 俄国
China Russia
總統 國王 普丁 (0000,6) 6 (人類)
President King Putin (0000,6) 6 (Human)
https://x.com/MID_RF/status/1981312141949878725
24) 密碼Password 9000 2025 開会記錄 調查 列表 Meeting Record Investigate List 樣本 Sample https://docs.google.com/spreadsheets/d/1R5AbPViJiDnJF3OqB47bKo5DzTRQsUo4n5rM4ONA9so/edit?gid=0#gid=0
24）密碼Password 9000
=
無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAthena)
No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAthena) -- 贏 -- Win --
-- "" 公平 正義 發明者 軍隊 "" --
-- "" Fairness Justice Inventor Army "" --
-- "" 管理 開始 "" --
-- "" Manage Begin "" --
https://x.com/a222061340
徐紫涵 （Hsu Tzu Han MollyAthena）
https://facebook.com/HsuMollyAthena/
-- "" 公平 正義 徐紫涵孟玲6 (徐紫涵6) “ 主義 "" "" --
-- "" Fairness Justice Xú zǐ hán Mèng líng 6 (Xú(Hsu Tzu Han) zǐ hán6) "" Ism "" "" --
https://facebook.com/groups/fairnessjusticexuhsuzihanmenglingism
移民 Migrant
https://facebook.com/groups/fairnessjusticeinventorgroupmigrant
罪犯 新聞 - Criminals News
https://facebook.com/groups/fairnessjusticeinventorgroupcriminalsnews/
20250315 - 04 動物 及 植物 靈 全部 可以 申請 存活 Animal and Plant Spirit All Can Apply Survive
20250427 - 01 - 001 人類 身體 細胞 Human Body Cell 每一人 超過一 兆個 Everyone More Than One Trillion 全部 可 成為 人類 All Can Become Human",3週
9,王翔瑋,先當兵吧，別在那邊搞這些543，用假人設騙那些婆婆媽媽,5週
10,白木喜,"退出演藝圈！這種品德！沒資格當藝人！
5週",讚
