comment_id,用戶名稱,留言內容,留言時間
1,黃薇潔,"書偉哥加油
你很配合調查，面對自己的以前
一切會過去的~
5週
讚",回覆
2,陳梅苓,"你真的讓我 非常失望
Energy我從國中就喜歡到現在
你們在高雄當五月天演唱會嘉賓復出的那場…… 查看更多
5週
讚",回覆
3,廖家儀的粉絲團,"  ·
追蹤
保重自己！加油
8週",讚
4,Silver Chong,"粉色好看
11週",讚
5,Doris Huang,"我的本命是Toro，以前不明白為什麼妹妹喜歡書偉，這次付出從第一次簽唱會，我完全能明白，這些年看著發貴，演戲的書偉，再看看每次站在舞台上賣力演出，笑容燦爛迷人的書偉，怎麼會不喜歡。台北見～你們要好好照顧自己
11週",讚
6,古庭羽,七夕快樂，我們演唱會見喔～,13週
7,蔡麗蓉,加油,2週
8,潘麗蘋,"加油加油喔身體要注意不要太勞累
3週",讚
9,杜瑋泠,趕快回覆,3週
10,Marjorien Shuwei,杜瑋泠,6天
11,YI Yuta,逃兵就是垃圾 還像老鼠躲類,3週
12,Joseph Chen,笑死。可以16蹲不能當兵,4週
13,陳其霖,沒當兵，請捐一千萬給國庫吧,4週
14,林朱珊,很喜歡書偉,4週
15,魏耘狄,"加油喔！
4週",讚
16,Steven Chang,逃兵也是一輩子的事,4週
17,Isa Chen,閃兵天團,4週
18,陳蘭兒,加油哦,4週
19,Mindy Kung,知道你可能現在不太敢看留言，還是要給你支持的力量。粉絲愛你，願意等你。,5週
20,葉芳君,丟臉，噁心。,5週
21,葉芳君,閃兵，丟臉。,5週
22,王巴黎,穿軍服一定會更帥,5週
23,劉宗岳,"閃兵也是一輩子的事；
閃過一時閃不過一世！",5週
24,陳明德,"逃兵仔 還敢把自己搞得那麼光鮮亮麗
小孩在學校就被笑有一個逃兵的爸爸",5週
25,郭晉瑋,不是說好要欣賞人生沿途風景，怎花錢把當兵略過了？,5週
26,Yen Simon,"兵役是個社會公平正義的問題
別人小孩死不完！
你們搞特權！
必須嚴懲！重懲！",5週
27,方筱詩,"書偉、坤達加油！
Energy永遠支持你們
5週",讚
28,王巧鈴,"方筱詩
是阿！E家人永遠支持你們",3週
29,蔡孟員,"加油，我們都在
5週",讚
30,張瑄芳,"休團 但明年小巨蛋照常舉行 哪招？
對你們失望",5週
31,Sponge Yo,書偉加油～～,5週
32,張素珠,讚,5週
33,Marjorien Shuwei,張素珠,6天
34,王美惠,能16蹲還在裝病，死逃兵仔,5週
35,老皮,逃兵跑的比誰還快很久，有你的呀,5週
36,張家睿,"書偉我還是繼續支持你，別放棄
5週",讚
37,廖碧玲,哈哈 可以運動 但無法當兵,5週
38,Marjorien Shuwei,廖碧玲,6天
39,蔡婷,"書偉加油
我們一直都在，我們陪你一起度過難關
5週",讚
40,Marjorien Shuwei,蔡婷,6天
41,Steven Chang,"蔡婷
難關？你去陪他當兵不是比較實際？",4週
42,楓,書偉有什麼難關，道道歉罰罰錢而已，也不用補當兵，演唱會照常舉行，最重要的，好多粉絲永遠都在，我也在，明年一月要來看閃兵天團,5週
43,祖刻薄,會運動 不會當兵???!!! 淦你涼的!!!!,5週
44,祖刻薄,爛東西!!!,5週
45,Dash LI,別人保家衛國，你們逃兵撈錢，逃兵期間的犯罪所得捐出來，才是最基本的懺悔吧，不要再演了,5週
46,賴璇璇,"一堆特地來這邊留言的酸民
5週",讚
47,Marjorien Shuwei,"賴璇璇
https://line.me/ti/p/FMd9-hBRzU",6天
48,王巧鈴,"賴璇璇
典型的鍵盤俠啊",3週
49,張宏洧,"張書偉 我們來 移送你了喔~
帥 好帥 書偉直接被抓真的帥
好帥 好帥 不用當兵真的好厲害
哇塞哇塞 整團都沒當兵超可愛
奇怪阿奇怪 怎麼是我先被宰？
掰掰~上~銬~摟~",5週
50,Ren Qi,"之前不是很邱？
口口聲聲說免疫？
現在被抓到造假
就變成啞巴啦？
趕緊進去繼續
你引以為傲的16蹲！
囂張沒落魄久啦~`
造假逃兵天團",5週
51,Little Bee,就老8+9團體阿～包包起來吧,5週
52,陳威瑾,閃兵團 可以16蹲不能當兵 還說早就想自首？繼續唬爛繼續騙,5週
53,林巧琤,"書偉哥
我們一直都在
等你們回來
勇於面對
5週",讚
54,Archer Liu,"最後也是輕判易科罰金，要是我來判，罰你蹲16年
5週",讚
55,陳東東,"都給你們帥，妹子都給你們用，阿兵我們這些老百姓當？真的是得了便宜還賣乖欸？？
5週",讚
56,Hong Yi Lin,幫補血，書偉說他有當過兵啦，還變成易汗體質～,5週
57,Marjorien Shuwei,石冠珍,6天
58,賀秀娟,張書偉~ 我已經在fb內政部留言了 替你伸張正義！,5週
59,劉禪,"有夠搞笑 什麼早就想自首
明明就是看到被抓的人就是幫他逃兵的人
分明就是怕被抓不敢出來繼續躲阿
看看自己有沒有機會閃過去
阿結果被抓了哈哈然後在說我早就想自首了
這種話也只有不分是非的人會相信
他都逃兵逃了幾年
想自首從他逃兵第一天就該自首了
energy跟棒棒糖一堆男的湊不到一張退伍令
不知道的人還以為這個國家科技真棒
無法當兵的人身材跟體能都好得要命
不愧是科技島",5週
60,Yu Chieh Lin,"怎麼會有人對明知故犯的人喊加油，他不是受害者吧？加什麼油啦
5週",讚
61,Mindy Kung,"雖然有人懷疑你的說詞，但我相信你，因為你是一個膽小又誠懇的人，所以你想自首又會怕。我還是你的粉絲，以後也會是。
5週",讚
62,祖刻薄,"Mindy Kung
挺逃兵的? 畜生!!!!!!!!!!!!!!!!!!",5週
63,劉禪,"Mindy Kung
別搞笑了好嗎
他都逃兵逃幾年了
還自首勒
我搶了銀行
五年後看到有人搶銀行被抓
半年後我被抓了
我在說其實我半年前就想自首了拉 哈哈哈
這樣的話你會不會信?",5週
64,蕭偉正,"為什麼要閃兵
5週",讚
65,陳梅苓,"你真的讓我 非常失望
Energy我從國中就喜歡到現在
你們在高雄當五月天演唱會嘉賓復出的那場
我在看台區情緒非常激動大喊
你們回來了！！！
唱的歌全都都是我的回憶
很開心你們復出回來了
後來台北信義簽唱會
為了能上台讓你們簽票
隔天還要上班的我
為了你們排隊排到凌晨才簽到票
雖然很累但我覺得很值得
之前小巨蛋演唱會我也去了一場
明年小巨蛋演唱會我兩場全勤
然後你們現在這樣搞
真的讓我很失望很失望很失望
逃得了一時逃不了一世
為什麼當初不好好面對
還說什麼想自首但會怕這種話
Energy我從國中到現在
最喜歡的成員就是你和坤達
但現在我要跟你說
我對你們很失望
5週
讚",回覆
66,馮小花,要編輯幾次,5週
67,Lii Ku,"陳梅苓
世上誰無過 能認錯 還是支持他們！
5週",讚
68,Leton Sin,你地中海型貧血是假的，地中海型￼禿頭才是真的吧！趕快把假髮拿掉￼,5週
69,劉昕,"你為什麼要騙人呢？
你為什麼不去當兵呢？
你好意思在演藝圈嗎？
不覺得你誤人子弟了嗎？
離開演藝圈吧，不要再帶壞風氣了",5週
