comment_id,用戶名稱,留言內容,留言時間
1,Leo Kuo,胡記臭豆腐,4週
2,宁德,阿达和LuLu拍的金门节目现在还记得，那么相配，怎么就分手了。,4週
3,Min Hui,"廖姍迪
我們的愛",5週
4,米雪糕,風度到帥到爆炸,6週
5,昊宇,他女婿在西定路也開一家,4週
6,昊宇,基隆阿興,4週
7,Leo Kuo,胡記臭豆腐,4週
8,許書維,"Nina Ho
你的愛",4週
9,沈素英,臭才好吃,4週
10,邱玉麟,培德路,4週
11,茶裏 王,基隆胡記,4週
12,Wayne Chang,"推薦一家一口酥臭豆腐在台中西屯‘’阿裕一口酥‘’真心不騙
4週",讚
13,Chaung Jog,想知道在哪,4週
14,Yi Wen Tsui,在哪裡,4週
15,安妮,"Yi Wen Tsui
基隆 信義區培德路",4週
16,ChuangJiaJia,在哪,4週
17,Berland Ting,療傷止痛,4週
18,酷基,"大胖 小胖都不錯
大三元也好吃",4週
19,Sherry Huang,再接再厲,6週
20,黃艾爾,"重點是哪有吃到飽
7週",讚
21,黃柏紋,還好,7週
