username,comments,time
jasonwu9933,100%雞腿肉啊！正港台灣人🇹🇼😍,3週
buuger0629,地點也太酷了吧,2週
gi_kuei,這個拍攝地點有可愛到捏❤️❤️❤️,2週
isiaia,小騎士 讚,3週
nikeya708807,裕民街夜市超棒☺️,2週
lovefoevery99,高雄的小騎士，讚👍,2週
alan_brobro,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
____lenal____,"怎麼沒問他當兵的時候最喜歡吃什麼
抱歉 他沒當兵",3週
z.4.tw,都坐華航☺️,2週
le_le_just_me,有推薦的楊桃冰嗎,3週
tt1213.0525,高雄務必來試試看「炸雞教父」👍👍👍,1 週
a8241andy,無名海鮮燴飯是哪間呀？ 木木嗎？🤔（我住裕民夜市）,2週
520lovejon,"當兵都吃什麼
：就正常的啊",2週
cestdaniel,能在這個地點，我也是醉了,3週
pattyseto,帥慘了 小小樹食👍🏼 @chinaairlines.tw,2週
mario5367,👏👏👏炸雞獵人,3週
akaconstantine,有沒有推薦的成功嶺美食？,2週
shon621,什麼鬼！太短了吧,2週
kin_ray,拜託你好好搭飛機，愛店老巢都被你掀光了，怎搞啊哥😢😢😢,2週
vivienneallday,小騎士真的是第一，但是胡椒粉好像消失，以前用中藥調配的紙包裝胡椒粉才是正宗,2週
mark.0721,LOL that 🤌 when you came out @atotheda,1 週
virgil.miseraph.nelson,逃兵吃什麼？,2週
night4545,逃兵仔喜歡吃什麼看這篇就對了,2週
opoepev,穿的好像外科醫師喔,3週
yishan541313945,不要再介紹裕民街夜市了！😂,2週
fly_fly_0920,是不是要推薦監獄餐了😏,2週
pengkaiweng,炸雞獵人,3週
c_tpe_,高雄小騎士😂哈囉嗎…,3週
peter06818,阿達請問你爸是海軍軍官，你逃兵的事是不是你爸幫忙的？,2週
jyunting03,Aka 逃兵仔 帶你吃好料~,2週
cnmb_nmsl_roger87,監獄炸雞獵人,2週
chinnwise,吃這麼胖不當兵,2週
rshaolin,buttermilk,2週
jewelzzzlee,@chi2k9 等看促咪的留言,3週
one_oa_108,看過他幫卜派炸雞站台就覺得他沒公信力了,2週
raynold411,不不不 小騎士要吃原味呀,2週
lovefoevery99,真心覺得裕民夜市裡面最好吃的是My帕司達的義大利麵（可惜2年前就收了😢,2週
lovefoevery99,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
lovefoevery99,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
aa663065,達哥加油 ～～～～不管事情如何發展永遠支持你,2週
chengwei_xoxo,😂😂😂,2週
philipbischoff_,\裕民夜市讚/,2週
bebo_wangwang,🙌🙌🙌,1 週
